abwiki	Georgia	100 or more	1	10
abwiki	Georgia	5 to 99	1	10
acewiki	Indonesia	5 to 99	1	10
acewiki	Japan	5 to 99	1	10
acewiki	United States	5 to 99	1	10
afwiki	Brazil	5 to 99	1	10
afwiki	Colombia	5 to 99	1	10
afwiki	Estonia	5 to 99	1	10
afwiki	France	5 to 99	1	10
afwiki	Germany	100 or more	1	10
afwiki	Germany	5 to 99	1	10
afwiki	Guatemala	5 to 99	1	10
afwiki	Hungary	5 to 99	1	10
afwiki	Iceland	5 to 99	1	10
afwiki	Japan	5 to 99	1	10
afwiki	Netherlands	100 or more	1	10
afwiki	Netherlands	5 to 99	1	10
afwiki	Philippines	5 to 99	1	10
afwiki	Poland	100 or more	1	10
afwiki	Romania	5 to 99	1	10
afwiki	Singapore	5 to 99	1	10
afwiki	South Africa	100 or more	1	10
afwiki	South Africa	5 to 99	11	20
afwiki	Spain	5 to 99	1	10
afwiki	United Kingdom	5 to 99	1	10
afwiki	United States	100 or more	1	10
afwiki	United States	5 to 99	1	10
afwiki	unknown	5 to 99	1	10
akwiki	France	5 to 99	1	10
akwiki	India	5 to 99	1	10
alswiki	Albania	5 to 99	1	10
alswiki	France	5 to 99	1	10
alswiki	Germany	100 or more	1	10
alswiki	Germany	5 to 99	1	10
alswiki	Guatemala	5 to 99	1	10
alswiki	Italy	5 to 99	1	10
alswiki	Switzerland	100 or more	1	10
alswiki	Switzerland	5 to 99	1	10
alswiki	unknown	5 to 99	1	10
amwiki	Italy	5 to 99	1	10
amwiki	Spain	5 to 99	1	10
amwiki	United Kingdom	5 to 99	1	10
amwiki	United States	5 to 99	1	10
angwiki	Brazil	5 to 99	1	10
angwiki	Chile	5 to 99	1	10
angwiki	Singapore	5 to 99	1	10
angwiki	United Kingdom	5 to 99	1	10
angwiki	United States	5 to 99	1	10
anwiki	Australia	5 to 99	1	10
anwiki	Brazil	5 to 99	1	10
anwiki	Germany	100 or more	1	10
anwiki	Poland	5 to 99	1	10
anwiki	Spain	100 or more	1	10
anwiki	Spain	5 to 99	1	10
anwiki	United States	5 to 99	1	10
anwiki	unknown	100 or more	1	10
arwiki	Algeria	100 or more	1	10
arwiki	Algeria	5 to 99	81	90
arwiki	Andorra	5 to 99	1	10
arwiki	Argentina	5 to 99	1	10
arwiki	Armenia	5 to 99	1	10
arwiki	Australia	5 to 99	1	10
arwiki	Austria	5 to 99	1	10
arwiki	Bangladesh	5 to 99	1	10
arwiki	Belgium	5 to 99	1	10
arwiki	Bosnia and Herzegovina	5 to 99	1	10
arwiki	Cambodia	5 to 99	1	10
arwiki	Canada	100 or more	1	10
arwiki	Canada	5 to 99	11	20
arwiki	Chad	5 to 99	1	10
arwiki	Colombia	5 to 99	1	10
arwiki	Curaçao	100 or more	1	10
arwiki	Czech Republic	5 to 99	1	10
arwiki	Denmark	100 or more	1	10
arwiki	Denmark	5 to 99	1	10
arwiki	Finland	100 or more	1	10
arwiki	France	100 or more	1	10
arwiki	France	5 to 99	21	30
arwiki	Georgia	5 to 99	1	10
arwiki	Germany	100 or more	1	10
arwiki	Germany	5 to 99	31	40
arwiki	Ghana	5 to 99	1	10
arwiki	Greece	5 to 99	1	10
arwiki	Guinea	5 to 99	1	10
arwiki	Hong Kong	5 to 99	1	10
arwiki	Hungary	100 or more	1	10
arwiki	Hungary	5 to 99	1	10
arwiki	India	5 to 99	1	10
arwiki	Iraq	100 or more	1	10
arwiki	Iraq	5 to 99	161	170
arwiki	Ireland	100 or more	1	10
arwiki	Ireland	5 to 99	11	20
arwiki	Israel	100 or more	1	10
arwiki	Israel	5 to 99	11	20
arwiki	Italy	5 to 99	1	10
arwiki	Japan	5 to 99	1	10
arwiki	Jordan	100 or more	11	20
arwiki	Jordan	5 to 99	351	360
arwiki	Kuwait	100 or more	1	10
arwiki	Kuwait	5 to 99	51	60
arwiki	Lebanon	100 or more	1	10
arwiki	Lebanon	5 to 99	11	20
arwiki	Luxembourg	5 to 99	1	10
arwiki	Malaysia	5 to 99	1	10
arwiki	Mali	5 to 99	1	10
arwiki	Mauritania	5 to 99	1	10
arwiki	Mexico	5 to 99	1	10
arwiki	Moldova	100 or more	1	10
arwiki	Moldova	5 to 99	1	10
arwiki	Morocco	100 or more	21	30
arwiki	Morocco	5 to 99	131	140
arwiki	Netherlands	100 or more	1	10
arwiki	Netherlands	5 to 99	1	10
arwiki	Norway	100 or more	1	10
arwiki	Norway	5 to 99	1	10
arwiki	Oman	100 or more	1	10
arwiki	Oman	5 to 99	11	20
arwiki	Palestine	100 or more	11	20
arwiki	Palestine	5 to 99	31	40
arwiki	Paraguay	5 to 99	1	10
arwiki	Philippines	100 or more	1	10
arwiki	Philippines	5 to 99	1	10
arwiki	Poland	5 to 99	1	10
arwiki	Qatar	100 or more	1	10
arwiki	Qatar	5 to 99	1	10
arwiki	Romania	5 to 99	1	10
arwiki	South Africa	5 to 99	1	10
arwiki	South Korea	5 to 99	1	10
arwiki	Spain	5 to 99	1	10
arwiki	Sweden	100 or more	1	10
arwiki	Sweden	5 to 99	1	10
arwiki	Tunisia	100 or more	1	10
arwiki	Tunisia	5 to 99	31	40
arwiki	Ukraine	5 to 99	1	10
arwiki	United Kingdom	5 to 99	11	20
arwiki	United States	100 or more	1	10
arwiki	United States	5 to 99	21	30
arwiki	unknown	5 to 99	1	10
arzwiki	Algeria	5 to 99	1	10
arzwiki	Canada	100 or more	1	10
arzwiki	Germany	5 to 99	1	10
arzwiki	India	5 to 99	1	10
arzwiki	Iraq	5 to 99	1	10
arzwiki	Israel	5 to 99	1	10
arzwiki	Jordan	5 to 99	1	10
arzwiki	Kuwait	5 to 99	1	10
arzwiki	Lebanon	5 to 99	1	10
arzwiki	Morocco	100 or more	1	10
arzwiki	Oman	5 to 99	1	10
arzwiki	Palestine	5 to 99	1	10
arzwiki	Qatar	5 to 99	1	10
arzwiki	Spain	5 to 99	1	10
arzwiki	United Kingdom	100 or more	1	10
arzwiki	United Kingdom	5 to 99	1	10
arzwiki	United States	100 or more	1	10
arzwiki	United States	5 to 99	1	10
arzwiki	unknown	5 to 99	1	10
astwiki	Brazil	5 to 99	1	10
astwiki	Colombia	5 to 99	1	10
astwiki	India	5 to 99	1	10
astwiki	Italy	5 to 99	1	10
astwiki	Mexico	5 to 99	1	10
astwiki	Peru	5 to 99	1	10
astwiki	Spain	100 or more	1	10
astwiki	Spain	5 to 99	11	20
astwiki	United Kingdom	5 to 99	1	10
astwiki	United States	5 to 99	1	10
astwiki	unknown	5 to 99	1	10
aswiki	Bangladesh	5 to 99	1	10
aswiki	Canada	5 to 99	1	10
aswiki	India	100 or more	11	20
aswiki	India	5 to 99	31	40
aswiki	United States	5 to 99	1	10
aswiki	unknown	5 to 99	1	10
atjwiki	Canada	5 to 99	1	10
atjwiki	Taiwan	5 to 99	1	10
avwiki	United Kingdom	5 to 99	1	10
avwiki	United States	5 to 99	1	10
azbwiki	France	5 to 99	1	10
azbwiki	Germany	5 to 99	1	10
azbwiki	Ireland	5 to 99	1	10
azbwiki	Morocco	5 to 99	1	10
azbwiki	United States	5 to 99	1	10
azbwiki	unknown	5 to 99	1	10
azwiki	Australia	5 to 99	1	10
azwiki	Austria	5 to 99	1	10
azwiki	Bulgaria	5 to 99	1	10
azwiki	Canada	100 or more	1	10
azwiki	Canada	5 to 99	1	10
azwiki	Chile	5 to 99	1	10
azwiki	Czech Republic	5 to 99	1	10
azwiki	Ecuador	5 to 99	1	10
azwiki	France	100 or more	1	10
azwiki	France	5 to 99	1	10
azwiki	Georgia	100 or more	1	10
azwiki	Georgia	5 to 99	1	10
azwiki	Germany	100 or more	1	10
azwiki	Germany	5 to 99	1	10
azwiki	Hungary	5 to 99	1	10
azwiki	Indonesia	100 or more	1	10
azwiki	Italy	5 to 99	1	10
azwiki	Latvia	5 to 99	1	10
azwiki	Lithuania	100 or more	1	10
azwiki	Romania	5 to 99	1	10
azwiki	Spain	5 to 99	1	10
azwiki	Switzerland	5 to 99	1	10
azwiki	Ukraine	5 to 99	1	10
azwiki	United Kingdom	100 or more	1	10
azwiki	United Kingdom	5 to 99	1	10
azwiki	United States	5 to 99	1	10
azwiki	unknown	5 to 99	1	10
barwiki	Austria	5 to 99	1	10
barwiki	Brazil	5 to 99	1	10
barwiki	Germany	100 or more	1	10
barwiki	Germany	5 to 99	1	10
barwiki	United States	5 to 99	1	10
barwiki	unknown	5 to 99	1	10
bawiki	United States	5 to 99	1	10
